Air temperature _K_,Process temperature _K_,Rotational speed _rpm_,Torque _Nm_,Tool wear _min_,Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M
-0.9523418227202428,-0.9473125185387332,0.0681817309991773,0.2821856456835621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.9023482889568012,-0.8799150030617403,-0.7294350306630083,0.6332763537279071,0.0118577075098814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9523418227202428,-1.0147100340157649,-0.2274384673791152,0.9442424094243272,0.0197628458498023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9023482889568012,-0.9473125185387332,-0.5899915408619268,-0.04884273618682,0.0276679841897233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9023482889568012,-0.8799150030617403,-0.7294350306630083,0.0013130792480863,0.0355731225296442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9523418227202428,-0.9473125185387332,-0.6346134575982729,0.1919051779007306,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.9523418227202428,-0.9473125185387332,0.1072259081434801,0.2420609933356371,0.0553359683794466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9523418227202428,-0.9473125185387332,-0.0656840192098608,0.0213754054220492,0.0632411067193675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.8523547551933313,-0.8799150030617403,0.715199523676195,-1.14223951266778,0.0711462450592885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.7523676876664196,-0.6777224566306844,1.1279522534873958,-1.2024264911896678,0.0830039525691699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.8023612214298896,-0.7451199721077159,1.3566395767611694,-1.6137041777559007,0.0948616600790513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.7023741539029495,-0.6103249411536531,-0.6457689367823594,0.4326530919882814,0.1146245059288537,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.7023741539029495,-0.6103249411536531,-1.1142990625139928,1.1147721819030092,0.1343873517786561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.7023741539029495,-0.54292742567666,1.1335299930794391,-1.0018032294500423,0.1462450592885375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.7023741539029495,-0.54292742567666,2.767807693548113,-2.045044190496096,0.1581027667984189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7023741539029495,-0.54292742567666,0.017982074670788,0.8439307785545143,0.1660079051383399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7023741539029495,-0.54292742567666,-1.270475771091204,0.6633698429888514,0.1739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.6523806201395079,-0.54292742567666,-0.7182795514789218,0.5630582121190385,0.1857707509881423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.6023870863760379,-0.54292742567666,-1.2983644690514204,1.4558317268603729,0.1976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.5523935526125963,-0.4755299101996286,0.519978637954681,-0.75102415227551,0.217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.5523935526125963,-0.4755299101996286,-0.9135004372004356,0.2721544825965813,0.2292490118577075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.6023870863760379,-0.4755299101996286,-0.4951699677971915,0.4828089074231878,0.2490118577075099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5523935526125963,-0.4755299101996286,0.2355139187604749,-0.9315850878411732,0.2569169960474308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.5024000188491262,-0.4081323947226355,1.2227738265521313,-1.4331432421902377,0.2687747035573122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5024000188491262,-0.4081323947226355,0.1239591269196098,-0.2695283241004086,0.2766798418972332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.5024000188491262,-0.3407348792456042,1.7972810045325869,-1.6738911562777885,0.2885375494071146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4524064850856561,-0.3407348792456042,-0.1493501130905096,-0.0989985516217264,0.2964426877470356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4524064850856561,-0.4081323947226355,1.5183940249304235,-1.5434860361470315,0.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.4524064850856561,-0.4081323947226355,-0.5565251033096673,0.4226219289013007,0.3241106719367589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5024000188491262,-0.4081323947226355,0.8602207530693197,-0.9917720663630608,0.3320158102766798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4524064850856561,-0.3407348792456042,-1.1142990625139928,0.8238684523805521,0.3399209486166007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.5024000188491262,-0.4081323947226355,1.4458834102338616,-1.4532055683642,0.3517786561264822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5024000188491262,-0.4081323947226355,-0.6680798951505325,0.8338996154675328,0.3596837944664031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5523935526125963,-0.4755299101996286,0.7040440444921084,-0.75102415227551,0.3675889328063241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6023870863760379,-0.6103249411536531,0.1128036477355233,-0.5303385643619215,0.375494071146245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.6023870863760379,-0.54292742567666,-0.484014488613105,0.8639931047284771,0.3873517786561264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.5523935526125963,-0.54292742567666,0.2355139187604749,-0.3297153026222957,0.3992094861660079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
