Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure,TWF,HDF,PWF,OSF,RNF,delta_temp,power,torque_wear,Type_H,Type_L,Type_M
-0.9523418227202429,-0.9473125185387333,0.06818173099917732,0.2821856456835621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,0.6294117404365134,-1.5264677939629325,0.0,0.0,1.0
-0.9023482889568013,-0.8799150030617403,-0.7294350306630083,0.6332763537279071,0.011857707509881422,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,0.5124305751559494,-1.4773269223785006,0.0,1.0,0.0
-0.9523418227202429,-1.0147100340157647,-0.22743846737911524,0.9442424094243271,0.019762845849802372,0.0,0.0,0.0,0.0,0.0,0.0,0.3989336412856047,1.376819749136151,-1.4390826587479957,0.0,1.0,0.0
-0.9023482889568013,-0.9473125185387333,-0.5899915408619268,-0.048842736186820036,0.02766798418972332,0.0,0.0,0.0,0.0,0.0,0.0,0.3989336412856615,-0.3299927460011055,-1.4286459725583576,0.0,1.0,0.0
-0.9023482889568013,-0.8799150030617403,-0.7294350306630083,0.0013130792480863895,0.03557312252964427,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,-0.35780569497547665,-1.3991048438520934,0.0,1.0,0.0
-0.9523418227202429,-0.9473125185387333,-0.6346134575982729,0.19190517790073067,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,-0.02547283906478406,-1.3634078392238056,0.0,0.0,1.0
-0.9523418227202429,-0.9473125185387333,0.10722590814348011,0.2420609933356371,0.05533596837944664,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,0.5976647552932814,-1.31646044066906,0.0,1.0,0.0
-0.9523418227202429,-0.9473125185387333,-0.06568401920986082,0.021375405422049246,0.06324110671936758,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,0.13913861449464102,-1.2989126564315667,0.0,1.0,0.0
-0.8523547551933313,-0.8799150030617403,0.715199523676195,-1.14223951266778,0.07114624505928854,0.0,0.0,0.0,0.0,0.0,0.0,0.3989336412856047,-1.2058112270554306,-1.3443387753044327,0.0,0.0,1.0
-0.7523676876664196,-0.6777224566306844,1.1279522534873958,-1.2024264911896678,0.08300395256916997,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,-1.100661601973488,-1.3184416421152287,0.0,0.0,1.0
-0.8023612214298896,-0.7451199721077159,1.3566395767611694,-1.6137041777559007,0.09486166007905138,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,-1.7048157549680947,-1.3235361601196622,1.0,0.0,0.0
-0.7023741539029495,-0.6103249411536531,-0.6457689367823594,0.4326530919882814,0.11462450592885376,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,0.3013562904351069,-1.0719589550535022,1.0,0.0,0.0
-0.7023741539029495,-0.6103249411536531,-1.1142990625139928,1.1147721819030092,0.13438735177865613,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,0.8295570568478516,-0.9118000452891222,0.0,0.0,1.0
-0.7023741539029495,-0.54292742567666,1.1335299930794391,-1.0018032294500423,0.14624505928853754,0.0,0.0,0.0,0.0,0.0,0.0,0.5987151177538442,-0.7561145938677016,-1.1337653644545123,0.0,0.0,1.0
-0.7023741539029495,-0.54292742567666,2.767807693548113,-2.0450441904960956,0.15810276679841898,0.0,0.0,0.0,0.0,0.0,0.0,0.5987151177538442,-1.9700737847278968,-1.2490995914993275,0.0,1.0,0.0
-0.7023741539029495,-0.54292742567666,0.017982074670788016,0.8439307785545143,0.16600790513833993,0.0,0.0,0.0,0.0,0.0,0.0,0.5987151177538442,1.4387832714367252,-0.8072916690037282,0.0,1.0,0.0
-0.7023741539029495,-0.54292742567666,-1.270475771091204,0.6633698429888514,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.5987151177538442,0.11041328306714221,-0.8010650358871982,0.0,0.0,1.0
-0.6523806201395079,-0.54292742567666,-0.7182795514789218,0.5630582121190385,0.1857707509881423,0.0,0.0,0.0,0.0,0.0,0.0,0.49882437951975284,0.42468489063151554,-0.7682336976364041,0.0,0.0,1.0
